Marca,Modelo,Variante,Descripcion,Sinonimo
DONGFENG,MINI,BRAVA,DESENGRASANTE 32 OZ,"limpiador, desengrasante de motor"
DONGFENG,MINI,BUS/VAN/TRUCK,ALTERNADOR,"dinamo, generador"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR DE COMPUERTA TRASERA,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR DELANTERO DERECHO GAS,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR DELANTERO DERECHO ACEITE,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR DELANTERO IZQUIERDO ACEITE,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR DELANTERO IZQUIERDO GAS,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,AMORTIGUADOR TRASERO,"suspension, amortiguacion, shock"
DONGFENG,MINI,BUS/VAN/TRUCK,"ANILLOS 0,25/010","aros de piston, rines de piston, segmentos"
DONGFENG,MINI,BUS/VAN/TRUCK,"ANILLOS 0,50/020","aros de piston, rines de piston, segmentos"
DONGFENG,MINI,BUS/VAN/TRUCK,"ANILLOS 0,75/030","aros de piston, rines de piston, segmentos"
DONGFENG,MINI,BUS/VAN/TRUCK,ANILLOS STD,"aros de piston, rines de piston, segmentos"
DONGFENG,MINI,BUS/VAN/TRUCK,ARANDELA TOPE DE AMORTIGUADOR,"rondana, guasa"
DONGFENG,MINI,BUS/VAN/TRUCK,ARBOL DE LEVA 2 LECTORE ESTEEM,"arbol de leva, eje de levas, camshaft"
DONGFENG,MINI,BUS/VAN/TRUCK,ARBOL DE LEVA 1 LECTOR (ORIGNAL ),"arbol de leva, eje de levas, camshaft"
DONGFENG,MINI,BUS/VAN/TRUCK,ARRANQUE DE MOTOR,"motor de arranque, marcha, burro de arranque, swich de arranque"
DONGFENG,MINI,BUS/VAN/TRUCK,BANDAS DE FRENO,"bandas de freno de mano, cintas de freno de mano"
DONGFENG,MINI,BUS/VAN/TRUCK,BALLESTAS TRASERA ( 4 HOJAS),"muelles, resortes de ballesta"
DONGFENG,MINI,BUS/VAN/TRUCK,BARRA DE TORCION DERECHA,"barra de torsion, barra estabilizadora"
DONGFENG,MINI,BUS/VAN/TRUCK,BARRA DE TORCION IZQUIERDA,"barra de torsion, barra estabilizadora"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE DE MOTOR DERECHA,"soporte de motor, cuna de motor, taco de motor"
DONGFENG,MINI,BUS/VAN/TRUCK,BASE DE MOTOR IZQUIERDA,"soporte de motor, cuna de motor, taco de motor"
