DESCRIPCION,MODELO,COSTO,DIVISA,MONTO Bs,BOLIVARES
DESENGRASANTE 32 OZ,BRAVA,5,8,6970.4728,11
ALTERNADOR,BUS/VAN/TRUCK,90,120,104557.092,135.6
AMORTIGUADOR DE COMPUERTA TRASERA,BUS/VAN/TRUCK,8,13,11327.0183,14.69
AMORTIGUADOR DELANTERO DERECHO GAS,BUS/VAN/TRUCK,30,37,32238.4367,41.81
AMORTIGUADOR DELANTERO DERECHO ACEITE,BUS/VAN/TRUCK,30,37,32238.4367,41.81
AMORTIGUADOR DELANTERO IZQUIERDO ACEITE,BUS/VAN/TRUCK,30,37,32238.4367,41.81
AMORTIGUADOR DELANTERO IZQUIERDO GAS,BUS/VAN/TRUCK,30,37,32238.4367,41.81
AMORTIGUADOR TRASERO,BUS/VAN/TRUCK,14,20,17426.182,22.6
"ANILLOS 0,25/010",BUS/VAN/TRUCK,10,15,13069.6365,16.95
"ANILLOS 0,50/020",BUS/VAN/TRUCK,10,15,13069.6365,16.95
"ANILLOS 0,75/030",BUS/VAN/TRUCK,16,20,17426.182,22.6
ANILLOS STD,BUS/VAN/TRUCK,10,15,13069.6365,16.95
ARANDELA TOPE DE AMORTIGUADOR,BUS/VAN/TRUCK,3,5,4356.5455,5.65
ARBOL DE LEVA 2 LECTORE Esteem,BUS/VAN/TRUCK,31,40,34852.364,45.2
ARBOL DE LEVA 1 LECTOR (ORIGNAL ),BUS/VAN/TRUCK,31,40,34852.364,45.2
ARRANQUE DE MOTOR ,BUS/VAN/TRUCK,60,80,69704.728,90.4
BANDAS DE FRENO ,BUS/VAN/TRUCK,10,20,17426.182,22.6
BALLESTAS TRASERA ( 4 HOJAS),BUS/VAN/TRUCK,55,70,60991.637,79.1
BARRA DE TORCION DERECHA,BUS/VAN/TRUCK,10,20,17426.182,22.6
BARRA DE TORCION IZQUIERDA,BUS/VAN/TRUCK,10,20,17426.182,22.6
BASE DE MOTOR DERECHA,BUS/VAN/TRUCK,15,25,21782.7275,28.25
BASE DE MOTOR IZQUIERDA,BUS/VAN/TRUCK,25,35,30495.8185,39.55
BASE METELICA DE AMORTIGUADOR,BUS/VAN/TRUCK,7,12,10455.7092,13.56
BASE PATIN INFERIOR DERECHA (20230115R),BUS/VAN/TRUCK,10,15,13069.6365,16.95
BASE PATIN INFERIOR IZQUIERDA (20230115L),BUS/VAN/TRUCK,10,15,13069.6365,16.95
BASE PATIN PUERTA MEDIA DERECHA,BUS/VAN/TRUCK,7,12,10455.7092,13.56
BASE PATIN PUERTA MEDIA IZQUIERDA,BUS/VAN/TRUCK,7,12,10455.7092,13.56
BASE PATIN SUPERIOR PUERTA DERECHA (202350),BUS/VAN/TRUCK,5,10,8713.091,11.3
BASE PATIN SUPERIOR PUERTA IZQUIERDA (201801),BUS/VAN/TRUCK,5,10,8713.091,11.3
BASE TRASERA DE CAJA,BUS/VAN/TRUCK,10,16,13940.9456,18.08
BOBINA DE ENCENDIDO,BUS/VAN/TRUCK,14,20,17426.182,22.6
BOMBA DE ACEITE,BUS/VAN/TRUCK,24,35,30495.8185,39.55
BOMBA DE AGUA,BUS/VAN/TRUCK,16,25,21782.7275,28.25
BOMBA DE FRENO,BUS/VAN/TRUCK,18,25,21782.7275,28.25
BOMBA DE GASOLINA,BUS/VAN/TRUCK,35,45,39208.9095,50.85
BRAZO DE BIELA,BUS/VAN/TRUCK,10,15,13069.6365,16.95
BUJE BARRA ESTABILZADORA,BUS/VAN/TRUCK,1,2,1742.6182,2.26
BUJE DE BALLESTAS PEQ GRAD 8 UND,BUS/VAN/TRUCK,5,10,8713.091,11.3
BUJE DE BASE DE CAJA TRASERO ,BUS/VAN/TRUCK,3.5,6,5227.8546,6.78
BUJE DE BASE DE MOTOR DERECHA E IZQUIERDA ,BUS/VAN/TRUCK,4,8,6970.4728,9.04
BUJE DE EMPUJE DELENTERO ,BUS/VAN/TRUCK,1,3,2613.9273,3.39
BUJES DE BALLESTA  TRASERO (4UND),BUS/VAN/TRUCK,5,10,8713.091,11.3
BUJIAS NGK (4 UNIDADES),BUS/VAN/TRUCK,4.8,10,8713.091,11.3
BUJIAS NGK (4 UNIDADES) (aplica a la c35),BUS/VAN/TRUCK,6,10,8713.091,11.3
BUJIAS DENSO CAJA AMARILLA (4 UND PUNTA IRIDIUM ),BUS/VAN/TRUCK,6,10,8713.091,11.3
BUJIAS DENSO CAJA AZUL (4 UND PUNTA IRIDIUM),BUS/VAN/TRUCK,6,10,8713.091,11.3
BUJIAS TORCH 3 PUNTAS (4 UNIDADES),BUS/VAN/TRUCK,6,10,8713.091,11.3
CABLES DE BUJAS,BUS/VAN/TRUCK,5,10,8713.091,11.3
CARDAN 2201100-01,BUS/VAN/TRUCK,43,65,56635.0915,73.45
CAÑA DE DIRECCION DE VOLANTE INFERIOR,BUS/VAN/TRUCK,14,30,26139.273,33.9
CAÑA DE DIRECCION DE VOLANTE SUPERIOR,BUS/VAN/TRUCK,28,50,43565.455,56.5
CAJA COMPLETA ,BUS/VAN/TRUCK,600,750,653481.825,847.5
CAJETIN DE DIRECCION,BUS/VAN/TRUCK,30,45,39208.9095,50.85
CALIPER DERECHO,BUS/VAN/TRUCK,20,30,26139.273,33.9
CALIPER IZQUIERDO,BUS/VAN/TRUCK,20,30,26139.273,33.9
CAMARA COMPLETA ,BUS/VAN/TRUCK,300,350,304958.185,395.5
CAMARA DESNUDA,BUS/VAN/TRUCK,200,250,217827.275,282.5
CARCASA AIRE DE MOTOR,BUS/VAN/TRUCK,27,35,30495.8185,39.55
CARTER DE MOTOR,BUS/VAN/TRUCK,15,20,17426.182,22.6
CERRADURA DE GUANTERA,BUS/VAN/TRUCK,5,8,6970.4728,9.04
CIGÜEÑAL,BUS/VAN/TRUCK,90,110,95844.001,124.3
CILINDRO DE FRENO LH,BUS/VAN/TRUCK,5,10,8713.091,11.3
CILINDRO DE FRENO RH,BUS/VAN/TRUCK,5,10,8713.091,11.3
COCUYO DE GUARDAFANGO,BUS/VAN/TRUCK,2.504,5,4356.5455,5.65
COLLARIN,BUS/VAN/TRUCK,3.5,8,6970.4728,9.04
COMPRESOR AIRE/AC,BUS/VAN/TRUCK,150,160,139409.456,180.8
COMPUTADORA MINI BUS VAN,BUS/VAN/TRUCK,85,100,87130.91,113
CONCHAS DE BANCADA 075,BUS/VAN/TRUCK,8,15,13069.6365,16.95
CONCHAS DE BANCADA 010,BUS/VAN/TRUCK,6,10,8713.091,11.3
CONCHAS DE BANCADA 020,BUS/VAN/TRUCK,6,10,8713.091,11.3
CONCHAS DE BANCADA STD,BUS/VAN/TRUCK,6,10,8713.091,11.3
CONCHAS DE BIELA 075,BUS/VAN/TRUCK,7,15,13069.6365,16.95
CONCHAS DE BIELA 010,BUS/VAN/TRUCK,5,8,6970.4728,9.04
CONCHAS DE BIELA 020,BUS/VAN/TRUCK,5,8,6970.4728,9.04
CONCHAS DE BIELA STD,BUS/VAN/TRUCK,5,8,6970.4728,9.04
CONJUNTO DE VALVULA BOMBA DE FRENO ,BUS/VAN/TRUCK,29,35,30495.8185,39.55
CONMUTADOR DE LUCES,BUS/VAN/TRUCK,20,30,26139.273,33.9
CONTROL ELEVA VIDRIO LH BEIS,BUS/VAN/TRUCK,13,18,15683.5638,20.34
CONTROL ELEVA VIDRIO LH NEGRO,BUS/VAN/TRUCK,13,18,15683.5638,20.34
CONTROL ELEVA VIDRIO RH BEIS,BUS/VAN/TRUCK,7,15,13069.6365,16.95
CONTROL ELEVA VIDRIO RH NEGRO,BUS/VAN/TRUCK,7,15,13069.6365,16.95
CONTROL ELEVAVIDRIO DERECHO 2013,BUS/VAN/TRUCK,10,15,13069.6365,16.95
CONTROL ELEVAVIDRIO IZQUIERDO 2013,BUS/VAN/TRUCK,10,15,13069.6365,16.95
COPA DE BASE DE AMORTIGUADOR,BUS/VAN/TRUCK,4,6,5227.8546,6.78
CORREA ALTERNADOR 4PK780,BUS/VAN/TRUCK,3.5,5,4356.5455,5.65
CORREA ALTERNADOR 4PK790,BUS/VAN/TRUCK,3.5,5,4356.5455,5.65
CORREA ALTERNADOR 4PK800,BUS/VAN/TRUCK,3.5,5,4356.5455,5.65
CORREA DE TIEMPO,BUS/VAN/TRUCK,9,20,17426.182,22.6
CORREA DE TIEMPO DOBLE COSTURA ,BUS/VAN/TRUCK,15,30,26139.273,33.9
CORREA DEL COMPRESOR AV*820,BUS/VAN/TRUCK,3.5,5,4356.5455,5.65
CRUCETA 25*64   (aplica C-37),BUS/VAN/TRUCK,5,10,8713.091,11.3
CUERPO DE ACELERACION,BUS/VAN/TRUCK,50,60,52278.546,67.8
DAMPER DE CIGÜEÑAL,BUS/VAN/TRUCK,20,25,21782.7275,28.25
DEPOSITO REFRIGERANTE,BUS/VAN/TRUCK,5,10,8713.091,11.3
DISCO DE CROCHET,BUS/VAN/TRUCK,16,25,21782.7275,28.25
DISCO DE FRENO,BUS/VAN/TRUCK,18,25,21782.7275,28.25
ELECTRO VENTILADOR DE RADIADOR ,BUS/VAN/TRUCK,67,80,69704.728,90.4
EMPACADURA DE CAMARA,BUS/VAN/TRUCK,2.5,5,4356.5455,5.65
EMPACADURA DE TAPA VALVULA,BUS/VAN/TRUCK,2.5,5,4356.5455,5.65
ENGRANAJE DE TIEMPO ,BUS/VAN/TRUCK,8,15,13069.6365,16.95
ENVASE DE AGUA CON MOTOR LIMPIA PARABRISA,BUS/VAN/TRUCK,13,20,17426.182,22.6
ESTOPERA DE CIGÜEÑAL DELANTERA ,BUS/VAN/TRUCK,1.5,5,4356.5455,5.65
ESTOPERA DE LEVA ,BUS/VAN/TRUCK,1.5,5,4356.5455,5.65
ESTOPERA TRASERA DE CIGÜEÑAL,BUS/VAN/TRUCK,2,5,4356.5455,5.65
FARO ANTINIEBLA 2013 DERECHO,BUS/VAN/TRUCK,10,15,13069.6365,16.95
FARO ANTINIEBLA 2013 IZQUIERDO,BUS/VAN/TRUCK,10,15,13069.6365,16.95
FARO DELANTERO DERECHO FONDO NEGRO,BUS/VAN/TRUCK,45,55,47922.0005,62.15
FARO DELANTERO IZQUIERDO FONDO NEGRO,BUS/VAN/TRUCK,45,55,47922.0005,62.15
FILTRO DE ACEITE,BUS/VAN/TRUCK,2,5,4356.5455,5.65
FILTRO DE AIRE MOTOR,BUS/VAN/TRUCK,4.5,8,6970.4728,9.04
FILTRO DE GASOLINA ,BUS/VAN/TRUCK,co,5,4356.5455,5.65
FLOTANTE DE GASOLINA ,BUS/VAN/TRUCK,8,12,10455.7092,13.56
GOMA GUARDAPOLVO DE CAÑA DE DIRECCION ,BUS/VAN/TRUCK,4,8,6970.4728,9.04
GOMA DE AMORTIGUADOR,BUS/VAN/TRUCK,5,10,8713.091,11.3
GORROS DE VALVULAS,BUS/VAN/TRUCK,4,10,8713.091,11.3
GRUPO DIFERENCIAL RELACION 43x11,BUS/VAN/TRUCK,125,140,121983.274,158.2
GUARDAPOLVO DE AMORTIGUADOR,BUS/VAN/TRUCK,3.5,5,4356.5455,5.65
GUARDAPOLVO DE ROTULA,TODAS LAS MARCAS,3.5,6,5227.8546,8
GUAYA DE ACELERACION,BUS/VAN/TRUCK,5.5,10,8713.091,11.3
GUAYA DE CROCHET,BUS/VAN/TRUCK,7,10,8713.091,11.3
GUAYA DE VELOCIDAD DELENTARA PUNTA PLATEADA,BUS/VAN/TRUCK,7,10,8713.091,11.3
GUAYA DE VELOCIDAD TRASERA PUNTA AMARILLA,BUS/VAN/TRUCK,7,10,8713.091,11.3
GUAYA SELECTORA DE CAMBIO,BUS/VAN/TRUCK,12,20,17426.182,22.6
GUIA DE VALVULAS 16PIEZAS,BUS/VAN/TRUCK,15,20,17426.182,22.6
INYECTOR DE GASOLINA,BUS/VAN/TRUCK,12,20,17426.182,22.6
KIT BASE DE AMORTIGUADOR 9 PIEZAS,BUS/VAN/TRUCK,20,25,21782.7275,28.25
KIT CHUPON DE BOBINA,BUS/VAN/TRUCK,5,10,8713.091,11.3
KIT DE BALANCIN 8PIEZAS Y MARTILLOS 8PIEZAS,BUS/VAN/TRUCK,36,45,39208.9095,50.85
KIT DE COMPONESTES PARA ARMAR CAMARA (88 PIEZAS),BUS/VAN/TRUCK,30,40,34852.364,45.2
KIT DE CROCHET,BUS/VAN/TRUCK,44,55,47922.0005,62.15
